,Raw_Tagged,Book,Clean,Bio_tagged,Span_Tagged,Coarse_Span_Tagged,Coarse_tag
847,"<<kulAla-cakra>T6-nABiH>T6 tu yaTA tatraeva vartate
",Vishnupurana,"kulAla cakra nABiH tu yaTA tatraeva vartate
",B-C I-C I-C O O O O,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<kulAla-cakra>Tatpurusha-nABiH>Tatpurusha tu yaTA tatraeva vartate
"
848,"<dina-AdeH>T6 <dIrGa-hrasva-tvaM>Di tatBogenaeva jAyate
",Vishnupurana,"dina AdeH dIrGa hrasva tvaM tatBogenaeva jAyate
",B-C I-C B-C I-C I-C O O,"0,2 T6|2,5 Di","0,2 Tatpurusha|2,5 Dvandva","<dina-AdeH>Tatpurusha <dIrGa-hrasva-tvaM>Dvandva tatBogenaeva jAyate
"
849,"<<prajA-pati>T6-kftaH>T3 SApaHtezAM mEtreya rakzasAm
",Vishnupurana,"prajA pati kftaH SApaHtezAM mEtreya rakzasAm
",B-C I-C I-C O O O,"0,2 T6|0,3 T3","0,2 Tatpurusha|0,3 Tatpurusha","<<prajA-pati>Tatpurusha-kftaH>Tatpurusha SApaHtezAM mEtreya rakzasAm
"
850,"tataH <<dvi-ja>U-uttamAH>T7 toyaM saMkzipanti <mahat-mune>K1
",Vishnupurana,"tataH dvi ja uttamAH toyaM saMkzipanti mahat mune
",O B-C I-C I-C O O B-C I-C,"1,3 U|1,4 T7|6,8 K1","1,3 Tatpurusha|1,4 Tatpurusha|6,8 Tatpurusha","tataH <<dvi-ja>Tatpurusha-uttamAH>Tatpurusha toyaM saMkzipanti <mahat-mune>Tatpurusha
"
851,"<<oMkAra-brahma>Di-saMyuktaM>T3 gAyatryA caaBimantritam
",Vishnupurana,"oMkAra brahma saMyuktaM gAyatryA caaBimantritam
",B-C I-C I-C O O,"0,2 Di|0,3 T3","0,2 Dvandva|0,3 Tatpurusha","<<oMkAra-brahma>Dvandva-saMyuktaM>Tatpurusha gAyatryA caaBimantritam
"
852,"tasmAtnaullaMGanaM kAryaM <<sanDyA-upAsana>T6-karmaRaH>K1
",Vishnupurana,"tasmAtnaullaMGanaM kAryaM sanDyA upAsana karmaRaH
",O O B-C I-C I-C,"2,4 T6|2,5 K1","2,4 Tatpurusha|2,5 Tatpurusha","tasmAtnaullaMGanaM kAryaM <<sanDyA-upAsana>Tatpurusha-karmaRaH>Tatpurusha
"
853,"reKApraBftiaTaAditye <<tri-muhUrtta>K1-gate>U ravO
",Vishnupurana,"reKApraBftiaTaAditye tri muhUrtta gate ravO
",O B-C I-C I-C O,"1,3 K1|1,4 U","1,3 Tatpurusha|1,4 Tatpurusha","reKApraBftiaTaAditye <<tri-muhUrtta>Tatpurusha-gate>Tatpurusha ravO
"
854,"<<tulA-meza>Di-gate>U BAnO <sama-<rAtri-dinaM>Di>Bs7 tu tat
",Vishnupurana,"tulA meza gate BAnO sama rAtri dinaM tu tat
",B-C I-C I-C O B-C I-C I-C O O,"0,2 Di|0,3 U|4,7 Bs7|5,7 Di","0,2 Dvandva|0,3 Tatpurusha|4,7 Bahuvrihi|5,7 Dvandva","<<tulA-meza>Dvandva-gate>Tatpurusha BAnO <sama-<rAtri-dinaM>Dvandva>Bahuvrihi tu tat
"
855,"<karkawa-ava-sTite>T7 BAnO <dakziRa-ayanam>K1 ucyate
",Vishnupurana,"karkawa ava sTite BAnO dakziRa ayanam ucyate
",B-C I-C I-C O B-C I-C O,"0,3 T7|4,6 K1","0,3 Tatpurusha|4,6 Tatpurusha","<karkawa-ava-sTite>Tatpurusha BAnO <dakziRa-ayanam>Tatpurusha ucyate
"
856,"<saMvatsara-AdayaH>Bs6 paMca <<catur-mAsa>K1-vikalpitAH>T3
",Vishnupurana,"saMvatsara AdayaH paMca catur mAsa vikalpitAH
",B-C I-C O B-C I-C I-C,"0,2 Bs6|3,5 K1|3,6 T3","0,2 Bahuvrihi|3,5 Tatpurusha|3,6 Tatpurusha","<saMvatsara-AdayaH>Bahuvrihi paMca <<catur-mAsa>Tatpurusha-vikalpitAH>Tatpurusha
"
857,"tadA tulyam <ahan-rAtraM>Ds karoti <timira-<apa-haH>U>U
",Vishnupurana,"tadA tulyam ahan rAtraM karoti timira apa haH
",O O B-C I-C O B-C I-C I-C,"2,4 Ds|5,8 U|6,8 U","2,4 Dvandva|5,8 Tatpurusha|6,8 Tatpurusha","tadA tulyam <ahan-rAtraM>Dvandva karoti <timira-<apa-haH>Tatpurusha>Tatpurusha
"
858,"savituHdakziRaM mArgaM SritAH hi <A-<candra-tArakam>Di>A1
",Vishnupurana,"savituHdakziRaM mArgaM SritAH hi A candra tArakam
",O O O O B-C I-C I-C,"4,7 A1|5,7 Di","4,7 Avyayibhava|5,7 Dvandva","savituHdakziRaM mArgaM SritAH hi <A-<candra-tArakam>Dvandva>Avyayibhava
"
859,"<<nAga-vITi>T6-uttaraM>Bs7 yatca <sapta-fziByaH>K1 ca dakziRam
",Vishnupurana,"nAga vITi uttaraM yatca sapta fziByaH ca dakziRam
",B-C I-C I-C O B-C I-C O O,"0,2 T6|0,3 Bs7|4,6 K1","0,2 Tatpurusha|0,3 Bahuvrihi|4,6 Tatpurusha","<<nAga-vITi>Tatpurusha-uttaraM>Bahuvrihi yatca <sapta-fziByaH>Tatpurusha ca dakziRam
"
860,"<A-<BUta-saMplavaM>Bs7>A1 sTAnam <na-mftatvaM>Tn viBAvyate
",Vishnupurana,"A BUta saMplavaM sTAnam na mftatvaM viBAvyate
",B-C I-C I-C O B-C I-C O,"0,3 A1|1,3 Bs7|4,6 Tn","0,3 Avyayibhava|1,3 Bahuvrihi|4,6 Tatpurusha","<A-<BUta-saMplavaM>Bahuvrihi>Avyayibhava sTAnam <na-mftatvaM>Tatpurusha viBAvyate
"
861,"<<trElokya-sTiti>T6-kAlaH>T6 ayam <na-punarmAraH>Tn ucyate
",Vishnupurana,"trElokya sTiti kAlaH ayam na punarmAraH ucyate
",B-C I-C I-C I-C I-C I-C O,"0,2 T6|0,3 T6|4,6 Tn","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Tatpurusha","<<trElokya-sTiti>Tatpurusha-kAlaH>Tatpurusha ayam <na-punarmAraH>Tatpurusha ucyate
"
862,"<<brahma-hatyA>T6-<aSva-meDAByAM>T6>Di <<pApa-puRya>Di-kftaH>U viDiH
",Vishnupurana,"brahma hatyA aSva meDAByAM pApa puRya kftaH viDiH
",B-C I-C I-C I-C B-C I-C I-C O,"0,2 T6|0,4 Di|2,4 T6|4,6 Di|4,7 U","0,2 Tatpurusha|0,4 Dvandva|2,4 Tatpurusha|4,6 Dvandva|4,7 Tatpurusha","<<brahma-hatyA>Tatpurusha-<aSva-meDAByAM>Tatpurusha>Dvandva <<pApa-puRya>Dvandva-kftaH>Tatpurusha viDiH
"
863,"<A-<<BUta-saMplava>Bs7-antaM>T6>A1 tu PalamuktaM tayoH <dvi-ja>U
",Vishnupurana,"A BUta saMplava antaM tu PalamuktaM tayoH dvi ja
",B-C I-C I-C I-C O O O B-C I-C,"0,4 A1|1,3 Bs7|1,4 T6|7,9 U","0,4 Avyayibhava|1,3 Bahuvrihi|1,4 Tatpurusha|7,9 Tatpurusha","<A-<<BUta-saMplava>Bahuvrihi-antaM>Tatpurusha>Avyayibhava tu PalamuktaM tayoH <dvi-ja>Tatpurusha
"
864,"<<kAma-kroDa>Di-viyuktAnAM>T3 yatInAM <yata-cetasAm>Bs3
",Vishnupurana,"kAma kroDa viyuktAnAM yatInAM yata cetasAm
",B-C I-C I-C O B-C I-C,"0,2 Di|0,3 T3|4,6 Bs3","0,2 Dvandva|0,3 Tatpurusha|4,6 Bahuvrihi","<<kAma-kroDa>Dvandva-viyuktAnAM>Tatpurusha yatInAM <yata-cetasAm>Bahuvrihi
"
865,"sTAnaM tatparamaM pivra <<puRya-pApa>Di-parikzaye>T6
",Vishnupurana,"sTAnaM tatparamaM pivra puRya pApa parikzaye
",O O O B-C I-C I-C,"3,5 Di|3,6 T6","3,5 Dvandva|3,6 Tatpurusha","sTAnaM tatparamaM pivra <<puRya-pApa>Dvandva-parikzaye>Tatpurusha
"
866,"<<Darma-Druva>Di-AdyAH>Bs6 tizWanti yatra te <loka-sAkziRaH>U
",Vishnupurana,"Darma Druva AdyAH tizWanti yatra te loka sAkziRaH
",B-C I-C I-C O O O B-C I-C,"0,2 Di|0,3 Bs6|6,8 U","0,2 Dvandva|0,3 Bahuvrihi|6,8 Tatpurusha","<<Darma-Druva>Dvandva-AdyAH>Bahuvrihi tizWanti yatra te <loka-sAkziRaH>Tatpurusha
"
867,"<tat-sAzwryA>T6 <utpanna-<yoga-fdDiH>T7>Bs6 tatvizRoH paramaM padam
",Vishnupurana,"tat sAzwryA utpanna yoga fdDiH tatvizRoH paramaM padam
",B-C I-C B-C I-C I-C O O O,"0,2 T6|2,5 Bs6|3,5 T7","0,2 Tatpurusha|2,5 Bahuvrihi|3,5 Tatpurusha","<tat-sAzwryA>Tatpurusha <utpanna-<yoga-fdDiH>Tatpurusha>Bahuvrihi tatvizRoH paramaM padam
"
868,"yatraotametatprotaM ca yatBUtaM <sa-<cara-acaram>K1>BvS
",Vishnupurana,"yatraotametatprotaM ca yatBUtaM sa cara acaram
",O O O B-C I-C I-C,"3,6 BvS|4,6 K1","3,6 Bahuvrihi|4,6 Tatpurusha","yatraotametatprotaM ca yatBUtaM <sa-<cara-acaram>Tatpurusha>Bahuvrihi
"
869,"<<viveka-jYAna>Di-dfzwaM>T3 ca tatvizRoH paramaM padam
",Vishnupurana,"viveka jYAna dfzwaM ca tatvizRoH paramaM padam
",B-C I-C I-C O O O O,"0,2 Di|0,3 T3","0,2 Dvandva|0,3 Tatpurusha","<<viveka-jYAna>Dvandva-dfzwaM>Tatpurusha ca tatvizRoH paramaM padam
"
870,"evametatpadaM vizRoHtftIyam <<na-mala>Tn-Atmakam>Bs6
",Vishnupurana,"evametatpadaM vizRoHtftIyam na mala Atmakam
",O O B-C I-C I-C,"2,4 Tn|2,5 Bs6","2,4 Tatpurusha|2,5 Bahuvrihi","evametatpadaM vizRoHtftIyam <<na-mala>Tatpurusha-Atmakam>Bahuvrihi
"
871,"<<<<<<vAma-pAda>K1-<ambu-ja>U>K1-aNguzWa>T6-naKa>T6-srotaH>T6-vinirgatAm>T3
",Vishnupurana,"vAma pAda ambu ja aNguzWa naKa srotaH vinirgatAm
",B-C I-C I-C I-C I-C I-C I-C I-C,"0,2 K1|0,4 K1|0,5 T6|0,6 T6|0,7 T6|0,8 T3|2,4 U","0,2 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|0,6 Tatpurusha|0,7 Tatpurusha|0,8 Tatpurusha|2,4 Tatpurusha","<<<<<<vAma-pAda>Tatpurusha-<ambu-ja>Tatpurusha>Tatpurusha-aNguzWa>Tatpurusha-naKa>Tatpurusha-srotaH>Tatpurusha-vinirgatAm>Tatpurusha
"
872,"ekAeva yA <catur-BedA>Bs6 <<<dik-Beda>T6-gati>T6-lakzaRA>Bs6
",Vishnupurana,"ekAeva yA catur BedA dik Beda gati lakzaRA
",O O B-C I-C B-C I-C I-C I-C,"2,4 Bs6|4,6 T6|4,7 T6|4,8 Bs6","2,4 Bahuvrihi|4,6 Tatpurusha|4,7 Tatpurusha|4,8 Bahuvrihi","ekAeva yA <catur-BedA>Bahuvrihi <<<dik-Beda>Tatpurusha-gati>Tatpurusha-lakzaRA>Bahuvrihi
"
873,"plAvayitvA divaM ninye yA pApAn <sagara-<Atma-jAn>U>T6
",Vishnupurana,"plAvayitvA divaM ninye yA pApAn sagara Atma jAn
",O O O O O B-C I-C I-C,"5,8 T6|6,8 U","5,8 Tatpurusha|6,8 Tatpurusha","plAvayitvA divaM ninye yA pApAn <sagara-<Atma-jAn>Tatpurusha>Tatpurusha
"
874,"<<<na-pUrva>Tn-puRya>K1-prAptiH>T6 ca sadyaH mEtreya jAyate
",Vishnupurana,"na pUrva puRya prAptiH ca sadyaH mEtreya jAyate
",B-C I-C I-C I-C O O O O,"0,2 Tn|0,3 K1|0,4 T6","0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha","<<<na-pUrva>Tatpurusha-puRya>Tatpurusha-prAptiH>Tatpurusha ca sadyaH mEtreya jAyate
"
875,"<Sukla-kfzRa-aruRAH>Di pItAH SarkarAH <SEla-kAMcanAH>K7
",Vishnupurana,"Sukla kfzRa aruRAH pItAH SarkarAH SEla kAMcanAH
",B-C I-C I-C O O B-C I-C,"0,3 Di|5,7 K7","0,3 Dvandva|5,7 Tatpurusha","<Sukla-kfzRa-aruRAH>Dvandva pItAH SarkarAH <SEla-kAMcanAH>Tatpurusha
"
876,"BUmayaH yatra mEtreya <<vara-prAsAda>K1-maRqitAH>T3
",Vishnupurana,"BUmayaH yatra mEtreya vara prAsAda maRqitAH
",O O O B-C I-C I-C,"3,5 K1|3,6 T3","3,5 Tatpurusha|3,6 Tatpurusha","BUmayaH yatra mEtreya <<vara-prAsAda>Tatpurusha-maRqitAH>Tatpurusha
"
877,"nivasanti <<mahat-nAga>K1-jAtayaH>T6 ca <mahat-mune>k1
",Vishnupurana,"nivasanti mahat nAga jAtayaH ca mahat mune
",O B-C I-C I-C O B-C I-C,"1,3 K1|1,4 T6|5,7 k1","1,3 Tatpurusha|1,4 Tatpurusha|5,7 Tatpurusha","nivasanti <<mahat-nAga>Tatpurusha-jAtayaH>Tatpurusha ca <mahat-mune>Tatpurusha
"
878,"<vIRA-veRu-mfdaMgAnAM>Di svanEHApUritAni ca
",Vishnupurana,"vIRA veRu mfdaMgAnAM svanEHApUritAni ca
",B-C I-C I-C O O,"0,3 Di","0,3 Dvandva","<vIRA-veRu-mfdaMgAnAM>Dvandva svanEHApUritAni ca
"
879,"<vizRu-prasAdAt>T6 anaGaH <<pAtAla-antara>T6-gocaraH>T7
",Vishnupurana,"vizRu prasAdAt anaGaH pAtAla antara gocaraH
",B-C I-C O B-C I-C I-C,"0,2 T6|3,5 T6|3,6 T7","0,2 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha","<vizRu-prasAdAt>Tatpurusha anaGaH <<pAtAla-antara>Tatpurusha-gocaraH>Tatpurusha
"
880,"<<PaRA-maRi>T6-sahasreRa>T6 yaH saH vidyotayandiSaH
",Vishnupurana,"PaRA maRi sahasreRa yaH saH vidyotayandiSaH
",B-C I-C I-C O O O,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<PaRA-maRi>Tatpurusha-sahasreRa>Tatpurusha yaH saH vidyotayandiSaH
"
881,"<nIla-vAsAH>Bs6 <mada-utsiktaH>T3 <<Sveta-hAra>K1-upaSoBitaH>T3
",Vishnupurana,"nIla vAsAH mada utsiktaH Sveta hAra upaSoBitaH
",B-C I-C B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 T3|4,6 K1|4,7 T3","0,2 Bahuvrihi|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","<nIla-vAsAH>Bahuvrihi <mada-utsiktaH>Tatpurusha <<Sveta-hAra>Tatpurusha-upaSoBitaH>Tatpurusha
"
882,"<sa-<aBra-<gaNgA-pravAhaH>T6>Di>Bvs asO <kElAsa-adriH>K7 ivaaparaH
",Vishnupurana,"sa aBra gaNgA pravAhaH asO kElAsa adriH ivaaparaH
",B-C I-C I-C I-C O B-C I-C O,"0,4 Bvs|1,4 Di|2,4 T6|5,7 K7","0,4 Bahuvrihi|1,4 Dvandva|2,4 Tatpurusha|5,7 Tatpurusha","<sa-<aBra-<gaNgA-pravAhaH>Tatpurusha>Dvandva>Bahuvrihi asO <kElAsa-adriH>Tatpurusha ivaaparaH
"
883,"<<lANgala-Asakta>T7-<hasta-agraH>T6>Bs6 biBratmusalamuttamam
",Vishnupurana,"lANgala Asakta hasta agraH biBratmusalamuttamam
",B-C I-C I-C I-C O,"0,2 T7|0,4 Bs6|2,4 T6","0,2 Tatpurusha|0,4 Bahuvrihi|2,4 Tatpurusha","<<lANgala-Asakta>Tatpurusha-<hasta-agraH>Tatpurusha>Bahuvrihi biBratmusalamuttamam
"
884,"muhuH <<SvAsa-anila>T6-apAstaM>T3 yAti dikzUdavAsatAm
",Vishnupurana,"muhuH SvAsa anila apAstaM yAti dikzUdavAsatAm
",O B-C I-C I-C O O,"1,3 T6|1,4 T3","1,3 Tatpurusha|1,4 Tatpurusha","muhuH <<SvAsa-anila>Tatpurusha-apAstaM>Tatpurusha yAti dikzUdavAsatAm
"
885,"<jambU-dvIpasya>K7 vistAraH <<Sata-sAhasra>K1-sammitaH>T3
",Vishnupurana,"jambU dvIpasya vistAraH Sata sAhasra sammitaH
",B-C I-C O B-C I-C I-C,"0,2 K7|3,5 K1|3,6 T3","0,2 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha","<jambU-dvIpasya>Tatpurusha vistAraH <<Sata-sAhasra>Tatpurusha-sammitaH>Tatpurusha
"
886,"sapta meDAtiTeH putrAH <<plakza-dvIpa>K7-ISvarasya>T6 vE
",Vishnupurana,"sapta meDAtiTeH putrAH plakza dvIpa ISvarasya vE
",O O O B-C I-C I-C O,"3,5 K7|3,6 T6","3,5 Tatpurusha|3,6 Tatpurusha","sapta meDAtiTeH putrAH <<plakza-dvIpa>Tatpurusha-ISvarasya>Tatpurusha vE
"
887,"DruvaHca saptamaHtezAM <<plakza-dvIpa>K7-ISvarAH>T6 hi te
",Vishnupurana,"DruvaHca saptamaHtezAM plakza dvIpa ISvarAH hi te
",O O B-C I-C I-C O O,"2,4 K7|2,5 T6","2,4 Tatpurusha|2,5 Tatpurusha","DruvaHca saptamaHtezAM <<plakza-dvIpa>Tatpurusha-ISvarAH>Tatpurusha hi te
"
888,"vasaMti <<deva-ganDarva>Di-sahitAH>T3 satataM prajAH
",Vishnupurana,"vasaMti deva ganDarva sahitAH satataM prajAH
",O B-C I-C I-C O O,"1,3 Di|1,4 T3","1,3 Dvandva|1,4 Tatpurusha","vasaMti <<deva-ganDarva>Dvandva-sahitAH>Tatpurusha satataM prajAH
"
889,"<<tretA-yuga>K7-samaH>T5 kAlaH sarvadAeva <mahat-mate>Bs6
",Vishnupurana,"tretA yuga samaH kAlaH sarvadAeva mahat mate
",B-C I-C I-C O O B-C I-C,"0,2 K7|0,3 T5|5,7 Bs6","0,2 Tatpurusha|0,3 Tatpurusha|5,7 Bahuvrihi","<<tretA-yuga>Tatpurusha-samaH>Tatpurusha kAlaH sarvadAeva <mahat-mate>Bahuvrihi
"
890,"<<plakza-dvIpa>K7-Adizu>Bs6 brahman <<SAka-dvIpa>K7-antikezu>T6 vE
",Vishnupurana,"plakza dvIpa Adizu brahman SAka dvIpa antikezu vE
",B-C I-C I-C O B-C I-C I-C O,"0,2 K7|0,3 Bs6|4,6 K7|4,7 T6","0,2 Tatpurusha|0,3 Bahuvrihi|4,6 Tatpurusha|4,7 Tatpurusha","<<plakza-dvIpa>Tatpurusha-Adizu>Bahuvrihi brahman <<SAka-dvIpa>Tatpurusha-antikezu>Tatpurusha vE
"
891,"<<daSa-varza>Km-sahasrARi>T6 tatra jIvanti mAnavAH
",Vishnupurana,"daSa varza sahasrARi tatra jIvanti mAnavAH
",B-C I-C I-C O O O,"0,2 Km|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<daSa-varza>Tatpurusha-sahasrARi>Tatpurusha tatra jIvanti mAnavAH
"
892,"<vipra-kzatriya-vESyAH>Di te SUdrAHca <muni-sattama>T7
",Vishnupurana,"vipra kzatriya vESyAH te SUdrAHca muni sattama
",B-C I-C I-C O O B-C I-C,"0,3 Di|5,7 T7","0,3 Dvandva|5,7 Tatpurusha","<vipra-kzatriya-vESyAH>Dvandva te SUdrAHca <muni-sattama>Tatpurusha
"
893,"<plakzaH-<tat-nAma>T6-saMjYaH>Bs6 ayaM <plakza-dvIpaH>K7 <<dvi-ja>U-uttama>T7
",Vishnupurana,"plakzaH tat nAma saMjYaH ayaM plakza dvIpaH dvi ja uttama
",B-C I-C I-C I-C O B-C I-C B-C I-C I-C,"0,4 Bs6|1,3 T6|5,7 K7|7,9 U|7,10 T7","0,4 Bahuvrihi|1,3 Tatpurusha|5,7 Tatpurusha|7,9 Tatpurusha|7,10 Tatpurusha","<plakzaH-<tat-nAma>Tatpurusha-saMjYaH>Bahuvrihi ayaM <plakza-dvIpaH>Tatpurusha <<dvi-ja>Tatpurusha-uttama>Tatpurusha
"
894,"<<plakza-dvIpa>K7-pramARena>T6 <plakza-dvIpaH>K7 samAvftaH
",Vishnupurana,"plakza dvIpa pramARena plakza dvIpaH samAvftaH
",B-C I-C I-C B-C I-C O,"0,2 K7|0,3 T6|3,5 K7","0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha","<<plakza-dvIpa>Tatpurusha-pramARena>Tatpurusha <plakza-dvIpaH>Tatpurusha samAvftaH
"
895,"taTAeva <ikzurasa-udena>T6 <pariveza-anu-kAriRA>U
",Vishnupurana,"taTAeva ikzurasa udena pariveza anu kAriRA
",O B-C I-C B-C I-C I-C,"1,3 T6|3,6 U","1,3 Tatpurusha|3,6 Tatpurusha","taTAeva <ikzurasa-udena>Tatpurusha <pariveza-anu-kAriRA>Tatpurusha
"
896,"SAlmalena samudraHasO dvIpena <<ikzu-rasa>T6-udakaH>Bs6
",Vishnupurana,"SAlmalena samudraHasO dvIpena ikzu rasa udakaH
",O O O B-C I-C I-C,"3,5 T6|3,6 Bs6","3,5 Tatpurusha|3,6 Bahuvrihi","SAlmalena samudraHasO dvIpena <<ikzu-rasa>Tatpurusha-udakaH>Bahuvrihi
"
897,"<vistAra-<dvi-guRena>Bs6>T5 aTa sarvataH saMvftaH sTitaH
",Vishnupurana,"vistAra dvi guRena aTa sarvataH saMvftaH sTitaH
",B-C I-C I-C O O O O,"0,3 T5|1,3 Bs6","0,3 Tatpurusha|1,3 Bahuvrihi","<vistAra-<dvi-guRena>Bahuvrihi>Tatpurusha aTa sarvataH saMvftaH sTitaH
"
898,"saptaetAni tu varzARi <<catur-varRa>Tds-yutAni>T3 vE
",Vishnupurana,"saptaetAni tu varzARi catur varRa yutAni vE
",O O O B-C I-C I-C O,"3,5 Tds|3,6 T3","3,5 Tatpurusha|3,6 Tatpurusha","saptaetAni tu varzARi <<catur-varRa>Tatpurusha-yutAni>Tatpurusha vE
"
899,"taTAeva <<deva-ganDarva-yakza-kiMpuruza>Di-AdayaH>Bs6
",Vishnupurana,"taTAeva deva ganDarva yakza kiMpuruza AdayaH
",O B-C I-C I-C I-C I-C,"1,5 Di|1,6 Bs6","1,5 Dvandva|1,6 Bahuvrihi","taTAeva <<deva-ganDarva-yakza-kiMpuruza>Dvandva-AdayaH>Bahuvrihi
"
900,"varRAHtatraapi catvAraH <<nija-anuzWAna>K1-tatparAH>T7
",Vishnupurana,"varRAHtatraapi catvAraH nija anuzWAna tatparAH
",O O B-C I-C I-C,"2,4 K1|2,5 T7","2,4 Tatpurusha|2,5 Tatpurusha","varRAHtatraapi catvAraH <<nija-anuzWAna>Tatpurusha-tatparAH>Tatpurusha
"
901,"<<<<yaTA-ukta>A1-arTa>K1-upasaMhAra>T6-arTaH>T4 ayam SlokaH AraByate
",Vishnupurana,"yaTA ukta arTa upasaMhAra arTaH ayam SlokaH AraByate
",B-C I-C I-C I-C I-C O O O,"0,2 A1|0,3 K1|0,4 T6|0,5 T4","0,2 Avyayibhava|0,3 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha","<<<<yaTA-ukta>Avyayibhava-arTa>Tatpurusha-upasaMhAra>Tatpurusha-arTaH>Tatpurusha ayam SlokaH AraByate
"
902,"yajantaH <kzamayanti-ugram-<aDikAra-Pala>Di-pradam>U
",Vishnupurana,"yajantaH kzamayanti ugram aDikAra Pala pradam
",O B-C I-C I-C I-C I-C,"1,6 U|3,5 Di","1,6 Tatpurusha|3,5 Dvandva","yajantaH <kzamayanti-ugram-<aDikAra-Pala>Dvandva-pradam>Tatpurusha
"
903,"<dvIpa-upa-dvIpezu>Di ye SElAH yaTA dvIpAni te taTA
",Vishnupurana,"dvIpa upa dvIpezu ye SElAH yaTA dvIpAni te taTA
",B-C I-C I-C O O O O O O,"0,3 Di","0,3 Dvandva","<dvIpa-upa-dvIpezu>Dvandva ye SElAH yaTA dvIpAni te taTA
"
904,"brAhmaRAH kzatriyAH vESyAH SUdrAHca <anu-krama-uditAH>T3
",Vishnupurana,"brAhmaRAH kzatriyAH vESyAH SUdrAHca anu krama uditAH
",O O O O B-C I-C I-C,"4,7 T3","4,7 Tatpurusha","brAhmaRAH kzatriyAH vESyAH SUdrAHca <anu-krama-uditAH>Tatpurusha
"
905,"sapta praDAnAH SataSaHtatraanyAH <kzudra-<nimna-gAH>U>K1
",Vishnupurana,"sapta praDAnAH SataSaHtatraanyAH kzudra nimna gAH
",O O O B-C I-C I-C,"3,6 K1|4,6 U","3,6 Tatpurusha|4,6 Tatpurusha","sapta praDAnAH SataSaHtatraanyAH <kzudra-<nimna-gAH>Tatpurusha>Tatpurusha
"
906,"kzAntiHca puRqarIkA ca saptaetAH <varza-<nimna-gAH>U>T7
",Vishnupurana,"kzAntiHca puRqarIkA ca saptaetAH varza nimna gAH
",O O O O B-C I-C I-C,"4,7 T7|5,7 U","4,7 Tatpurusha|5,7 Tatpurusha","kzAntiHca puRqarIkA ca saptaetAH <varza-<nimna-gAH>Tatpurusha>Tatpurusha
"
907,"AvftaH sarvataH <<krOYca-dvIpa>K7-tulyena>T6 mAnataH
",Vishnupurana,"AvftaH sarvataH krOYca dvIpa tulyena mAnataH
",O O B-C I-C I-C O,"2,4 K7|2,5 T6","2,4 Tatpurusha|2,5 Tatpurusha","AvftaH sarvataH <<krOYca-dvIpa>Tatpurusha-tulyena>Tatpurusha mAnataH
"
908,"<<SAka-dvIpa>K7-ISvarasya>T6 api Bavyasya <<su-mahat>U-AtmanaH>Bs6
",Vishnupurana,"SAka dvIpa ISvarasya api Bavyasya su mahat AtmanaH
",B-C I-C I-C O O B-C I-C I-C,"0,2 K7|0,3 T6|5,7 U|5,8 Bs6","0,2 Tatpurusha|0,3 Tatpurusha|5,7 Tatpurusha|5,8 Bahuvrihi","<<SAka-dvIpa>Tatpurusha-ISvarasya>Tatpurusha api Bavyasya <<su-mahat>Tatpurusha-AtmanaH>Bahuvrihi
"
909,"<<<yatra-tya>A1-vAta>k1-saMsparSAt>T6 AhlAdaH jAyate paraH
",Vishnupurana,"yatra tya vAta saMsparSAt AhlAdaH jAyate paraH
",B-C I-C I-C I-C O O O,"0,2 A1|0,3 k1|0,4 T6","0,2 Avyayibhava|0,3 Tatpurusha|0,4 Tatpurusha","<<<yatra-tya>Avyayibhava-vAta>Tatpurusha-saMsparSAt>Tatpurusha AhlAdaH jAyate paraH
"
910,"tatra puRyAH janapadAH <<cAtur-varRya>Tds-samanvitAH>T3
",Vishnupurana,"tatra puRyAH janapadAH cAtur varRya samanvitAH
",O O O B-C I-C I-C,"3,5 Tds|3,6 T3","3,5 Tatpurusha|3,6 Tatpurusha","tatra puRyAH janapadAH <<cAtur-varRya>Tatpurusha-samanvitAH>Tatpurusha
"
911,"tAH pibanti mudA yuktAH <<jala-da>U-Adizu>Bs6 ye sTitAH
",Vishnupurana,"tAH pibanti mudA yuktAH jala da Adizu ye sTitAH
",O O O O B-C I-C I-C O O,"4,6 U|4,7 Bs6","4,6 Tatpurusha|4,7 Bahuvrihi","tAH pibanti mudA yuktAH <<jala-da>Tatpurusha-Adizu>Bahuvrihi ye sTitAH
"
